name,ICAO,IATA,OtherCode,crownDependency,designated,british,label
La Grand'combe Airport,LFTN,,,False,False,False,La Grand'combe Airport (France) (LFTN)
Hamad International Airport,OTHH,DOH,,False,False,False,Hamad International Airport (Qatar) (OTHH / DOH)
Fort Mackay / Horizon Airport,CYNR,HZP,,False,False,False,Fort Mackay / Horizon Airport (Canada) (CYNR / HZP)
Canmore Municipal Heliport,,,CEW9,False,False,False,Canmore Municipal Heliport (Canada) (CEW9)
Krasnokamensk Airport,UIAE,,,False,False,False,Krasnokamensk Airport (Russia) (UIAE)
Ridgely Airpark,KRJD,,,False,False,False,Ridgely Airpark (United States) (KRJD)
New Castle Henry Co. Municipal Airport,KUWL,,,False,False,False,New Castle Henry Co. Municipal Airport (United States) (KUWL)
Scott City Municipal Airport,KTQK,,,False,False,False,Scott City Municipal Airport (United States) (KTQK)
Brewster Field,KHDE,HDE,,False,False,False,Brewster Field (United States) (KHDE / HDE)
Pratt Regional Airport,KPTT,PTT,,False,False,False,Pratt Regional Airport (United States) (KPTT / PTT)
Yubileyniy Airfield,UAON,,,False,False,False,Yubileyniy Airfield (Kazakhstan) (UAON)
Wahoo Municipal Airport,KAHQ,,,False,False,False,Wahoo Municipal Airport (United States) (KAHQ)
Jim Kelly Field,KLXN,LXN,,False,False,False,Jim Kelly Field (United States) (KLXN / LXN)
Sublette Municipal Airport,,,K19S,False,False,False,Sublette Municipal Airport (United States) (K19S)
Council Bluffs Municipal Airport,KCBF,CBF,,False,False,False,Council Bluffs Municipal Airport (United States) (KCBF / CBF)
Kokomo Municipal Airport,KOKK,OKK,,False,False,False,Kokomo Municipal Airport (United States) (KOKK / OKK)
Neodesha Municipal Airport,,,K2K7,False,False,False,Neodesha Municipal Airport (United States) (K2K7)
King Ranch Airport,,,AK59,False,False,False,King Ranch Airport (United States) (AK59)
Elkhart Morton County Airport,KEHA,,,False,False,False,Elkhart Morton County Airport (United States) (KEHA)
Front Range Airport,KFTG,,,False,False,False,Front Range Airport (United States) (KFTG)
Galesburg Municipal Airport,KGBG,GBG,,False,False,False,Galesburg Municipal Airport (United States) (KGBG / GBG)
Guymon Municipal Airport,KGUY,GUY,,False,False,False,Guymon Municipal Airport (United States) (KGUY / GUY)
Meade Municipal Airport,KMEJ,,,False,False,False,Meade Municipal Airport (United States) (KMEJ)
Turkey Mountain Estates Airport,,,MO00,False,False,False,Turkey Mountain Estates Airport (United States) (MO00)
Ulysses Airport,KULS,,,False,False,False,Ulysses Airport (United States) (KULS)
Flagler Aerial Spraying Inc Airport,,,CO00,False,False,False,Flagler Aerial Spraying Inc Airport (United States) (CO00)
Independence Municipal Airport,KIDP,IDP,,False,False,False,Independence Municipal Airport (United States) (KIDP / IDP)
Augusta Municipal Airport,,,K3AU,False,False,False,Augusta Municipal Airport (United States) (K3AU)
Larned Pawnee County Airport,KLQR,,,False,False,False,Larned Pawnee County Airport (United States) (KLQR)
Lampasas Airport,KLZZ,,,False,False,False,Lampasas Airport (United States) (KLZZ)
